week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
6.0,1.0,1.0,4.0,6768.43,57.0,7.0,1.0,1.0,4.0,2948.806,59.0,1.0,0.0,1.0,4.0,4671.061,54.0,2.0,0.0,1.0,4.0,4115.325,50.0,3.0,0.0,1.0,4.0,6382.6900000000005,61.0,4.0,0.0,1.0,4.0,4401.193,45.0,5.0,0.0,1.0,4.0,3649.619,46.0,6.0,1.0,1.0,4.0,7326.594000000001,50.0,4.25,0.375,1.0,4.0,5032.964750000001,52.75,2.1213203435596424,0.5175491695067657,0.0,0.0,1591.2200511955557,5.946187253790689,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.3299693305194567,0.06319302768644405,-2.0
2.0,0.0,1.0,4.0,4115.325,50.0,3.0,0.0,1.0,4.0,6382.6900000000005,61.0,4.0,0.0,1.0,4.0,4401.193,45.0,5.0,0.0,1.0,4.0,3649.619,46.0,6.0,1.0,1.0,4.0,7326.594000000001,50.0,7.0,1.0,1.0,4.0,4311.435,43.0,1.0,0.0,1.0,4.0,4396.695,36.0,2.0,0.0,1.0,4.0,4606.928,58.0,3.75,0.25,1.0,4.0,4898.809875,48.625,2.1213203435596424,0.4629100498862757,0.0,0.0,1264.9284874887976,8.070006195784487,0.31426968052735443,1.4401645996461911,0.0,0.0,1.380563145153387,0.16971720115107786,9.0
6.0,1.0,0.0,4.0,7015.493,44.0,7.0,1.0,0.0,4.0,4275.1320000000005,39.0,1.0,0.0,0.0,4.0,508.222,26.0,2.0,0.0,0.0,4.0,2177.891,19.0,3.0,0.0,0.0,4.0,5039.905,33.0,4.0,0.0,0.0,4.0,2469.253,29.0,5.0,0.0,0.0,4.0,7126.9310000000005,27.0,6.0,1.0,0.0,4.0,3618.647,43.0,4.25,0.375,0.0,4.0,4028.9342500000002,32.5,2.1213203435596424,0.5175491695067657,0.0,0.0,2330.619455039414,8.88015443881146,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.05377515709059972,0.002448057698160059,3.0
6.0,1.0,0.0,4.0,2996.56,39.0,7.0,1.0,0.0,4.0,2464.336,34.0,1.0,0.0,0.0,4.0,3083.1890000000003,70.0,2.0,0.0,0.0,4.0,646.672,23.0,3.0,0.0,0.0,4.0,4080.691,71.0,4.0,0.0,0.0,4.0,4592.285,58.0,5.0,0.0,0.0,4.0,1569.138,18.0,6.0,1.0,0.0,4.0,1801.289,16.0,4.25,0.375,0.0,4.0,2654.2699999999995,41.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1312.7574936463213,22.554299558430728,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.025559453715669735,0.34849726144247156,2.0
5.0,0.0,0.0,1.0,1897.495,38.0,6.0,1.0,0.0,1.0,665.169,9.0,7.0,1.0,0.0,1.0,2220.426,33.0,1.0,0.0,0.0,1.0,5933.533,35.0,2.0,0.0,0.0,1.0,2260.519,27.0,3.0,0.0,0.0,1.0,2646.842,44.0,4.0,0.0,0.0,1.0,1110.755,42.0,5.0,0.0,0.0,1.0,3621.172,55.0,4.125,0.25,0.0,1.0,2544.488875,35.375,2.03100960115899,0.4629100498862757,0.0,0.0,1640.863689084627,13.532368602724357,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.304734243883312,-0.802417217343473,-5.0
6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,6295.882,51.0,4.25,0.375,0.25,2.0,786.98525,6.375,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,2225.9304278751615,18.031222920256962,-0.31426968052735443,0.6440611887195306,1.4401645996461911,0.0,2.8284271247461894,2.8284271247461903,1.0
1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,6295.882,51.0,7.0,1.0,1.0,2.0,2457.63,39.0,1.0,0.0,1.0,2.0,2825.722,46.0,3.625,0.25,0.5,2.0,1447.40425,17.0,2.2638462845343543,0.4629100498862757,0.5345224838248488,0.0,2296.050885846127,23.682422655994106,0.22624995586066124,1.4401645996461911,0.0,0.0,1.6123927680639374,0.71380947346537,-6.0
2.0,0.0,0.0,3.0,8797.438,137.0,3.0,0.0,0.0,3.0,4781.473,103.0,4.0,0.0,0.0,3.0,5530.203,96.0,5.0,0.0,0.0,3.0,2972.518,102.0,6.0,1.0,0.0,3.0,4471.636,83.0,7.0,1.0,0.0,3.0,3903.218,79.0,1.0,0.0,0.0,3.0,2490.4460000000004,72.0,2.0,0.0,0.0,3.0,3080.905,51.0,3.75,0.25,0.0,3.0,4503.479625,90.375,2.1213203435596424,0.4629100498862757,0.0,0.0,2012.486528889994,25.556310375326092,0.31426968052735443,1.4401645996461911,0.0,0.0,1.529160705854948,0.4107627494052327,0.0
5.0,0.0,0.0,3.0,2972.518,102.0,6.0,1.0,0.0,3.0,4471.636,83.0,7.0,1.0,0.0,3.0,3903.218,79.0,1.0,0.0,0.0,3.0,2490.4460000000004,72.0,2.0,0.0,0.0,3.0,3080.905,51.0,3.0,0.0,0.0,3.0,2370.465,77.0,4.0,0.0,0.0,3.0,4001.486,73.0,5.0,0.0,0.0,3.0,5331.7,113.0,4.125,0.25,0.0,3.0,3577.7967500000004,81.25,2.03100960115899,0.4629100498862757,0.0,0.0,1029.1315458205872,19.024420396652598,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.4945646648193595,0.32708575627310016,0.0
1.0,0.0,0.0,3.0,2490.4460000000004,72.0,2.0,0.0,0.0,3.0,3080.905,51.0,3.0,0.0,0.0,3.0,2370.465,77.0,4.0,0.0,0.0,3.0,4001.486,73.0,5.0,0.0,0.0,3.0,5331.7,113.0,6.0,1.0,0.0,3.0,7889.293,148.0,7.0,1.0,0.0,3.0,1810.121,49.0,1.0,0.0,0.0,3.0,4128.418,107.0,3.625,0.25,0.0,3.0,3887.85425,86.25,2.2638462845343543,0.4629100498862757,0.0,0.0,1978.1068949749292,33.91902121229326,0.22624995586066124,1.4401645996461911,0.0,0.0,1.2643274989313422,0.79089029294018,-2.0
