week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
5.0,0.0,0.0,3.0,380.733,3.0,6.0,1.0,0.0,3.0,389.775,5.0,7.0,1.0,0.0,3.0,40.032,2.0,1.0,0.0,0.0,3.0,581.806,2.0,2.0,0.0,0.0,3.0,560.153,5.0,3.0,0.0,0.0,3.0,2300.723,4.0,4.0,0.0,0.0,3.0,1382.967,12.0,5.0,0.0,0.0,3.0,0.0,0.0,4.125,0.25,0.0,3.0,704.523625,4.125,2.03100960115899,0.4629100498862757,0.0,0.0,773.2907487148557,3.6030740843261686,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.5101274250037482,1.6243961879352682,-9.0
3.0,0.0,0.0,3.0,2300.723,4.0,4.0,0.0,0.0,3.0,1382.967,12.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,335.227,4.0,7.0,1.0,0.0,3.0,2300.547,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1635.438,3.0,3.0,0.0,0.0,3.0,416.98,7.0,3.875,0.25,0.0,3.0,1046.48525,4.0,2.03100960115899,0.4629100498862757,0.0,0.0,978.2123952145348,3.9641248358604595,0.2238027108715141,1.4401645996461911,0.0,0.0,0.2617508644668816,1.2292063127395407,6.0
6.0,1.0,0.0,3.0,335.227,4.0,7.0,1.0,0.0,3.0,2300.547,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1635.438,3.0,3.0,0.0,0.0,3.0,416.98,7.0,4.0,0.0,0.0,3.0,23.612,7.0,5.0,0.0,0.0,3.0,5.552,4.0,6.0,1.0,0.0,3.0,29.861,6.0,4.25,0.375,0.0,3.0,593.402125,4.125,2.1213203435596424,0.5175491695067657,0.0,0.0,881.3864717360187,2.4748737341529163,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.476615576918031,-0.3404479129744477,-6.0
2.0,0.0,0.0,3.0,1635.438,3.0,3.0,0.0,0.0,3.0,416.98,7.0,4.0,0.0,0.0,3.0,23.612,7.0,5.0,0.0,0.0,3.0,5.552,4.0,6.0,1.0,0.0,3.0,29.861,6.0,7.0,1.0,0.0,3.0,816.204,8.0,1.0,0.0,0.0,3.0,3177.0,1.0,2.0,0.0,0.0,3.0,997.082,4.0,3.75,0.25,0.0,3.0,887.716125,5.0,2.1213203435596424,0.4629100498862757,0.0,0.0,1088.8644765779018,2.390457218668787,0.31426968052735443,1.4401645996461911,0.0,0.0,1.526979604145921,-0.4183300132670378,0.0
5.0,0.0,0.0,3.0,356.693,4.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,842.425,3.0,2.0,0.0,1.0,3.0,1210.647,10.0,3.0,0.0,1.0,3.0,1174.288,10.0,4.0,0.0,1.0,3.0,835.768,9.0,5.0,0.0,1.0,3.0,1144.306,4.0,4.125,0.25,0.625,3.0,695.515875,5.0,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,509.83666220115117,4.174754056057845,-0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,-0.5304155012055362,0.14136495863028445,1.0
3.0,0.0,1.0,3.0,1129.109,10.0,4.0,0.0,1.0,4.0,486.075,9.0,5.0,0.0,1.0,4.0,1063.717,5.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,1049.421,8.0,1.0,0.0,1.0,4.0,319.468,3.0,2.0,0.0,1.0,4.0,1291.999,2.0,3.0,0.0,1.0,4.0,0.0,0.0,3.875,0.25,1.0,3.875,667.473625,4.625,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,527.9457804000974,3.9977672339873487,0.2238027108715141,1.4401645996461911,0.0,-2.8284271247461903,-0.2368335139519757,0.1707657110303812,5.0
6.0,1.0,1.0,4.0,1134.738,4.0,7.0,1.0,1.0,4.0,0.05,1.0,1.0,0.0,1.0,4.0,2063.666,5.0,2.0,0.0,1.0,4.0,365.33,6.0,3.0,0.0,1.0,4.0,0.05,1.0,4.0,0.0,1.0,4.0,42.817,2.0,5.0,0.0,0.0,4.0,131.239,3.0,6.0,1.0,0.0,4.0,209.817,4.0,4.25,0.375,0.75,4.0,493.46337500000004,3.25,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,736.2884747616516,1.8322507626258087,-0.31426968052735443,0.6440611887195306,-1.4401645996461911,0.0,1.7803635845955161,0.06967363696721048,-1.0
2.0,0.0,1.0,4.0,365.33,6.0,3.0,0.0,1.0,4.0,0.05,1.0,4.0,0.0,1.0,4.0,42.817,2.0,5.0,0.0,0.0,4.0,131.239,3.0,6.0,1.0,0.0,4.0,209.817,4.0,7.0,1.0,0.0,4.0,432.991,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.05,1.0,3.75,0.25,0.375,4.0,147.78674999999998,2.5,2.1213203435596424,0.4629100498862757,0.5175491695067657,0.0,172.9161548577394,1.927248223318863,0.31426968052735443,1.4401645996461911,0.6440611887195306,0.0,0.8434743101326104,0.638614795892641,-3.0
6.0,1.0,0.0,4.0,2530.902,1.0,7.0,1.0,0.0,4.0,1644.223,7.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,834.0,1.0,3.0,0.0,0.0,4.0,578.544,5.0,4.0,0.0,0.0,4.0,0.05,1.0,5.0,0.0,0.0,4.0,155.085,6.0,6.0,1.0,0.0,4.0,524.183,7.0,4.25,0.375,0.0,4.0,783.373375,3.5,2.1213203435596424,0.5175491695067657,0.0,0.0,888.7094806686085,3.0237157840738176,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.2861222538612567,0.10334966058846057,-7.0
2.0,0.0,0.0,4.0,834.0,1.0,3.0,0.0,0.0,4.0,578.544,5.0,4.0,0.0,0.0,4.0,0.05,1.0,5.0,0.0,0.0,4.0,155.085,6.0,6.0,1.0,0.0,4.0,524.183,7.0,7.0,1.0,0.0,4.0,675.629,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,142.243,6.0,3.75,0.25,0.0,4.0,363.71674999999993,3.625,2.1213203435596424,0.4629100498862757,0.0,0.0,326.7757990679542,2.7222627143085005,0.31426968052735443,1.4401645996461911,0.0,0.0,0.17602227477941565,-0.15313271114077956,11.0
6.0,1.0,0.0,4.0,717.947,10.0,7.0,1.0,0.0,4.0,24.026,6.0,1.0,0.0,0.0,4.0,366.421,4.0,2.0,0.0,0.0,4.0,388.803,3.0,3.0,0.0,0.0,4.0,458.388,4.0,4.0,0.0,0.0,4.0,1001.041,8.0,5.0,0.0,0.0,4.0,669.384,7.0,6.0,1.0,0.0,4.0,407.21,8.0,4.25,0.375,0.0,4.0,504.15250000000003,6.25,2.1213203435596424,0.5175491695067657,0.0,0.0,291.35076681504427,2.434865792722759,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.16274024702456452,0.08906752500597115,6.0
3.0,0.0,0.0,1.0,1073.492,5.0,4.0,0.0,0.0,1.0,653.05,11.0,5.0,0.0,0.0,1.0,188.908,2.0,6.0,1.0,0.0,1.0,1447.733,9.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,201.676,7.0,2.0,0.0,1.0,1.0,2807.35,4.0,3.0,0.0,1.0,1.0,290.171,9.0,3.875,0.25,0.5,1.0,832.7974999999999,5.875,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,938.7034737174156,3.7961446607992015,0.2238027108715141,1.4401645996461911,0.0,0.0,1.5390672854412066,-0.2477567453656117,-1.0
