iter	MAE
0	8.493934896
1	8.400977047
2	8.308060068
3	8.219624303
4	8.135391772
5	8.05243902
6	7.971733149
7	7.894554791
8	7.819326301
9	7.748538781
10	7.679550426
11	7.613081311
12	7.54605659
13	7.483548322
14	7.422189794
15	7.361268628
16	7.304249699
17	7.249331637
18	7.196115404
19	7.143930174
20	7.09390629
21	7.044414664
22	6.998113425
23	6.952121938
24	6.908838959
25	6.86581064
26	6.824714539
27	6.784832491
28	6.745955669
29	6.708612789
30	6.671654146
31	6.637529743
32	6.603346494
33	6.570992543
34	6.539747069
35	6.510284504
36	6.4821595
37	6.453586863
38	6.426752187
39	6.400479433
40	6.376271707
41	6.352640157
42	6.329511537
43	6.306312232
44	6.284794004
45	6.2631419
46	6.243230513
47	6.224250247
48	6.205019455
49	6.187187842
50	6.169722038
51	6.152263343
52	6.136008187
53	6.120538091
54	6.106226979
55	6.09254207
56	6.079887831
57	6.066695233
58	6.054033417
59	6.043186857
60	6.03188929
61	6.021971021
62	6.011741182
63	6.001916246
64	5.99227311
65	5.982865793
66	5.974488253
67	5.966183054
68	5.958203384
69	5.950328905
70	5.943122613
71	5.936178193
72	5.929196425
73	5.922806018
74	5.916057411
75	5.910023071
76	5.904346083
77	5.89830582
78	5.893033225
79	5.887353344
80	5.88206685
81	5.876854679
82	5.871874635
83	5.867289623
84	5.862663397
85	5.858831812
86	5.854619408
87	5.850584231
88	5.846587301
89	5.843312389
90	5.839866967
91	5.836853923
92	5.833710164
93	5.83086417
94	5.827692088
95	5.824385401
96	5.82152381
97	5.818966898
98	5.816341893
99	5.813712012
100	5.811192231
101	5.808506592
102	5.806113927
103	5.803826227
104	5.801693024
105	5.799417271
106	5.797650437
107	5.795664364
108	5.793810085
109	5.792198743
110	5.790713747
111	5.78920882
112	5.787854704
113	5.78674891
114	5.785190065
115	5.783953728
116	5.782862891
117	5.781669523
118	5.780465265
119	5.77945236
120	5.778505943
121	5.777439826
122	5.776677989
123	5.775763912
124	5.774941021
125	5.773972195
126	5.773462236
127	5.772471624
128	5.771728464
129	5.770735334
130	5.770027062
131	5.76930126
132	5.768654561
133	5.767703566
134	5.766970081
135	5.766199448
136	5.765648274
137	5.765059214
138	5.764443986
139	5.763679061
140	5.763159117
141	5.762351821
142	5.761758652
143	5.761313394
144	5.760883091
145	5.760421723
146	5.759896696
147	5.759487214
148	5.758874223
149	5.758408491
150	5.75761287
151	5.757196436
152	5.756742991
153	5.756329625
154	5.755935218
155	5.755357414
156	5.754833154
157	5.75430931
158	5.75396107
159	5.753487835
160	5.753187628
161	5.752832478
162	5.752168802
163	5.751860932
164	5.751406299
165	5.75090243
166	5.750569923
167	5.750288437
168	5.749915776
169	5.749558982
170	5.749024629
171	5.74847062
172	5.748212981
173	5.747909173
174	5.747640898
175	5.746896768
176	5.746477448
177	5.746110144
178	5.745799489
179	5.745259761
180	5.744929549
181	5.744670955
182	5.744383787
183	5.74412922
184	5.743804036
185	5.743607569
186	5.743256721
187	5.742972776
188	5.742717722
189	5.742247215
190	5.741960491
191	5.741738564
192	5.741357922
193	5.741180273
194	5.74079743
195	5.740341664
196	5.740080156
197	5.739866382
198	5.739461978
199	5.739288271
200	5.738920421
201	5.738724794
202	5.738302008
203	5.738206302
204	5.737784444
205	5.737511481
206	5.737421292
207	5.736995018
208	5.736599001
209	5.736327389
210	5.736015501
211	5.735787988
212	5.735656266
213	5.735358528
214	5.735233583
215	5.735090224
216	5.734911218
217	5.734686092
218	5.734574267
219	5.734464079
220	5.734376908
221	5.734070665
222	5.73389037
223	5.73366171
224	5.733370586
225	5.732988962
226	5.732821616
227	5.732574695
228	5.732426718
229	5.732191365
230	5.731760006
231	5.731494253
232	5.731358558
233	5.731004832
234	5.730799283
235	5.730647923
236	5.730390204
237	5.730105191
238	5.729927801
239	5.729551326
240	5.729382734
241	5.729326943
242	5.729192084
243	5.728793584
244	5.728740191
245	5.72851302
246	5.728231638
247	5.728102855
248	5.727873233
249	5.727671157
250	5.727487031
251	5.727449968
252	5.727344359
253	5.727028593
254	5.726735498
255	5.726475589
256	5.726104715
257	5.725928053
258	5.725872918
259	5.725689744
260	5.725365168
261	5.724902249
262	5.724712313
263	5.724599211
264	5.724379597
265	5.723926753
266	5.723579491
267	5.723436521
268	5.723347003
269	5.723185523
270	5.722971662
271	5.722927605
272	5.722628469
273	5.722382757
274	5.722316747
275	5.722136651
276	5.72211047
277	5.722046315
278	5.72171773
279	5.721618387
280	5.721515601
281	5.721449582
282	5.721419067
283	5.721259665
284	5.721217246
285	5.72107098
286	5.721002125
287	5.72089442
288	5.720842573
289	5.720763347
290	5.720724833
291	5.720497875
292	5.720441357
293	5.720335784
294	5.720226541
295	5.720160819
296	5.719882784
297	5.719742774
298	5.719677473
299	5.719599354
