week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_4_t-7,unlock_num_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_4_t-6,unlock_num_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_4_t-5,unlock_num_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_4_t-4,unlock_num_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_4_t-3,unlock_num_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_4_t-2,unlock_num_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_4_t-1,unlock_num_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_4_t-0,unlock_num_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_4_mean,unlock_num_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_4_std,unlock_num_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_4_skew,unlock_num_hr_4_skew,target
1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,270.809,5.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.625,0.25,0.0,3.0,33.851125,0.625,2.2638462845343543,0.4629100498862757,0.0,0.0,95.7454401531739,1.7677669529663689,0.22624995586066124,1.4401645996461911,0.0,0.0,2.8284271247461894,2.82842712474619,-11.0
1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,855.025,3.0,4.0,0.0,0.0,3.0,3378.083,1.0,5.0,0.0,0.0,3.0,7.167,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1274.528,24.0,3.625,0.25,0.0,3.0,689.350375,3.625,2.2638462845343543,0.4629100498862757,0.0,0.0,1193.1563170303423,8.29694436008135,0.22624995586066124,1.4401645996461911,0.0,0.0,2.0201178982562724,2.745154517693125,0.0
4.0,0.0,0.0,3.0,3378.083,1.0,5.0,0.0,0.0,3.0,7.167,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1274.528,24.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,52.455,1.0,4.0,0.0,0.0,3.0,17.24,1.0,4.0,0.25,0.0,3.0,591.184125,3.5,2.0,0.4629100498862757,0.0,0.0,1209.6621211237266,8.298020417975776,0.0,1.4401645996461911,0.0,0.0,2.2382586323646225,2.808248641306655,0.0
7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,5.001,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,4.375,0.375,0.0,3.0,0.625125,0.125,2.2638462845343543,0.5175491695067657,0.0,0.0,1.7681205063569625,0.3535533905932738,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.82842712474619,2.8284271247461903,-1.0
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,5.001,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,45.84,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.875,0.25,0.0,3.0,6.355125,0.25,2.03100960115899,0.4629100498862757,0.0,0.0,16.04998749832624,0.4629100498862757,0.2238027108715141,1.4401645996461911,0.0,0.0,2.7649550931103977,1.4401645996461911,2.0
1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,4.914,1.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,4.375,0.375,1.0,3.125,0.61425,0.125,2.2638462845343543,0.5175491695067657,0.0,0.3535533905932738,1.7373613613753471,0.3535533905932738,-0.22624995586066124,0.6440611887195306,0.0,2.8284271247461903,2.8284271247461894,2.8284271247461903,-7.0
6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,8.626,1.0,5.0,0.0,0.0,4.0,0.0,0.0,4.375,0.375,0.875,3.75,1.07825,0.125,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.4629100498862757,3.0497515472575794,0.3535533905932738,-0.22624995586066124,0.6440611887195306,-2.8284271247461903,-1.4401645996461911,2.8284271247461903,2.8284271247461903,2.0
7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,11.211,2.0,7.0,1.0,0.0,4.0,0.0,0.0,4.375,0.375,0.0,4.0,1.401375,0.25,2.2638462845343543,0.5175491695067657,0.0,0.0,3.9636870619411924,0.7071067811865476,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.8284271247461903,2.8284271247461903,-4.0
3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,11.211,2.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,21.898,2.0,3.875,0.25,0.0,4.0,4.138625,0.5,2.03100960115899,0.4629100498862757,0.0,0.0,8.178221862928744,0.9258200997725514,0.2238027108715141,1.4401645996461911,0.0,0.0,1.9255808648302553,1.4401645996461911,3.0
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,11.211,2.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,21.898,2.0,4.0,0.0,0.0,4.0,112.015,4.0,4.0,0.25,0.0,4.0,18.140500000000003,1.0,2.0,0.4629100498862757,0.0,0.0,38.76660423612056,1.5118578920369088,0.0,1.4401645996461911,0.0,0.0,2.6061454583431094,1.3228756555322954,-5.0
