week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_4_t-7,unlock_num_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_4_t-6,unlock_num_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_4_t-5,unlock_num_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_4_t-4,unlock_num_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_4_t-3,unlock_num_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_4_t-2,unlock_num_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_4_t-1,unlock_num_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_4_t-0,unlock_num_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_4_mean,unlock_num_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_4_std,unlock_num_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_4_skew,unlock_num_hr_4_skew,target
5.0,0.0,0.0,3.0,,,6.0,1.0,0.0,3.0,,,7.0,1.0,0.0,3.0,,,1.0,0.0,0.0,3.0,,,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,361.362,3.0,6.0,1.0,0.0,3.0,0.0,0.0,4.625,0.375,0.0,3.0,90.3405,0.75,1.9226098333849673,0.5175491695067657,0.0,0.0,180.68099999999998,1.5,-0.8970294706768481,0.6440611887195306,0.0,0.0,2.0,1.9999999999999998,9.0
5.0,0.0,0.0,3.0,138.013,2.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,1165.203,2.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,4.125,0.25,0.625,3.0,162.902,0.5,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,407.8601172226296,0.9258200997725514,-0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,2.753980493575686,1.4401645996461911,0.0
6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.05,1.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,3098.0,1.0,4.0,0.0,1.0,4.0,211.483,1.0,5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,4.25,0.375,1.0,4.0,413.69162500000004,0.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1087.1458685822297,0.5175491695067657,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.8031132315174854,0.6440611887195306,0.0
6.0,1.0,0.0,4.0,69.568,1.0,7.0,1.0,0.0,4.0,351.005,4.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,462.539,1.0,6.0,1.0,0.0,4.0,0.0,0.0,4.25,0.375,0.0,4.0,110.389,0.75,2.1213203435596424,0.5175491695067657,0.0,0.0,186.89213566042386,1.3887301496588271,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.482483007688801,2.293595473510601,-9.0
5.0,0.0,0.0,4.0,255.0,1.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.125,0.25,0.0,4.0,31.875,0.125,2.03100960115899,0.4629100498862757,0.0,0.0,90.15611460128481,0.3535533905932738,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8284271247461903,2.8284271247461903,4.0
3.0,0.0,0.0,4.0,0.1,2.0,4.0,0.0,0.0,4.0,1.079,1.0,5.0,0.0,0.0,4.0,1001.314,2.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,809.177,1.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,3209.405,1.0,3.875,0.25,0.0,4.0,627.6343750000001,0.875,2.03100960115899,0.4629100498862757,0.0,0.0,1121.6237911896098,0.8345229603962802,0.2238027108715141,1.4401645996461911,0.0,0.0,2.164179939114531,0.2765283182378207,-1.0
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,21.448,1.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,730.983,7.0,1.0,0.0,0.0,4.0,644.0,1.0,2.0,0.0,0.0,4.0,0.05,1.0,3.0,0.0,0.0,4.0,1862.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.25,0.0,4.0,407.310125,1.375,2.0,0.4629100498862757,0.0,0.0,664.3325180825032,2.326094212561969,0.0,1.4401645996461911,0.0,0.0,1.8175792564788593,2.5723370607782634,-6.0
7.0,1.0,0.0,4.0,730.983,7.0,1.0,0.0,0.0,4.0,644.0,1.0,2.0,0.0,0.0,4.0,0.05,1.0,3.0,0.0,0.0,4.0,1862.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,210.482,3.0,6.0,1.0,0.0,4.0,321.389,3.0,7.0,1.0,0.0,4.0,240.5,2.0,4.375,0.375,0.0,4.0,501.1755,2.25,2.2638462845343543,0.5175491695067657,0.0,0.0,610.8699775182464,2.187627547301936,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.8677698545394836,1.6510764380171443,-2.0
4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2089.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,527.508,4.0,4.0,0.0,1.0,1.0,0.0,0.0,4.0,0.25,0.625,1.0,327.0635,0.625,2.0,0.4629100498862757,0.5175491695067657,0.0,735.4708332379431,1.407885953173359,0.0,1.4401645996461911,-0.6440611887195306,0.0,2.5222268805579158,2.5275900725748475,-10.0
6.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2183.741,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.05,1.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.125,1.0,272.973875,0.375,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,772.0665095444335,0.7440238091428449,-0.31426968052735443,0.6440611887195306,2.8284271247461903,0.0,2.8284271218411248,1.9510301759000723,0.0
4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,87.043,2.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,2.0,0.0,0.0,1.0,0.05,1.0,3.0,0.0,0.0,1.0,80.955,2.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.25,0.0,1.0,21.01225,0.75,2.0,0.4629100498862757,0.0,0.0,38.910306518416725,0.8864052604279183,0.0,1.4401645996461911,0.0,0.0,1.4477098210553767,0.6153557179830177,2.0
3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.875,0.25,0.0,1.875,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,-2.8284271247461903,0.0,0.0,-3.0
1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.625,0.25,0.0,2.0,0.00625,0.125,2.2638462845343543,0.4629100498862757,0.0,0.0,0.01767766952966369,0.3535533905932738,0.22624995586066124,1.4401645996461911,0.0,0.0,2.8284271247461894,2.8284271247461903,-2.0
