week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_4_t-7,unlock_num_hr_4_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_4_t-6,unlock_num_hr_4_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_4_t-5,unlock_num_hr_4_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_4_t-4,unlock_num_hr_4_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_4_t-3,unlock_num_hr_4_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_4_t-2,unlock_num_hr_4_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_4_t-1,unlock_num_hr_4_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_4_t-0,unlock_num_hr_4_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_4_mean,unlock_num_hr_4_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_4_std,unlock_num_hr_4_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_4_skew,unlock_num_hr_4_skew,target
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,21.262,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,4.84,1.0,7.0,1.0,0.0,3.0,4.879,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.875,0.25,0.0,3.0,3.872625,0.375,2.03100960115899,0.4629100498862757,0.0,0.0,7.361338095317415,0.5175491695067657,0.2238027108715141,1.4401645996461911,0.0,0.0,2.373116167433337,0.6440611887195306,0.0
1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,20.895,1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.625,0.25,0.0,3.0,2.611875,0.125,2.2638462845343543,0.4629100498862757,0.0,0.0,7.387498096446454,0.3535533905932738,0.22624995586066124,1.4401645996461911,0.0,0.0,2.8284271247461903,2.8284271247461903,11.0
1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,5.567,1.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,5.443,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.625,0.25,0.0,3.0,1.37625,0.25,2.2638462845343543,0.4629100498862757,0.0,0.0,2.5485353076396087,0.4629100498862757,0.22624995586066124,1.4401645996461911,0.0,0.0,1.4408951018128195,1.4401645996461911,2.0
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,5.443,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,21.411,1.0,3.0,0.0,0.0,3.0,5.768,1.0,4.0,0.0,0.0,3.0,21.131,1.0,4.0,0.25,0.0,3.0,6.719125,0.5,2.0,0.4629100498862757,0.0,0.0,9.309542177441994,0.5345224838248488,0.0,1.4401645996461911,0.0,0.0,1.1681885680223505,0.0,1.0
7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,21.411,1.0,3.0,0.0,0.0,3.0,5.768,1.0,4.0,0.0,0.0,3.0,21.131,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,21.194,1.0,7.0,1.0,0.0,3.0,0.0,0.0,4.375,0.375,0.0,3.0,8.688,0.5,2.2638462845343543,0.5175491695067657,0.0,0.0,10.579999932487173,0.5345224838248488,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.5297901649151658,0.0,3.0
3.0,0.0,0.0,3.0,5.768,1.0,4.0,0.0,0.0,3.0,21.131,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,21.194,1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.875,0.25,0.0,3.0,6.011625,0.375,2.03100960115899,0.4629100498862757,0.0,0.0,9.560764612840485,0.5175491695067657,0.2238027108715141,1.4401645996461911,0.0,0.0,1.2792800253424361,0.6440611887195306,-3.0
7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,21.141,1.0,6.0,1.0,0.0,3.0,21.879,2.0,7.0,1.0,0.0,3.0,0.0,0.0,4.375,0.375,0.0,3.0,5.3774999999999995,0.375,2.2638462845343543,0.5175491695067657,0.0,0.0,9.95914850060701,0.7440238091428449,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.4418588093665219,1.9510301759000723,-1.0
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,21.141,1.0,6.0,1.0,0.0,3.0,21.879,2.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.875,0.25,0.0,3.0,5.3774999999999995,0.375,2.03100960115899,0.4629100498862757,0.0,0.0,9.95914850060701,0.7440238091428449,0.2238027108715141,1.4401645996461911,0.0,0.0,1.4418588093665217,1.9510301759000723,-8.0
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,20.558,1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,21.477,1.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,3.875,0.25,0.25,3.0,5.254375,0.25,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,9.73231171976701,0.4629100498862757,0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,1.4429152248107362,1.4401645996461911,-10.0
7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,21.477,1.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,21.103,1.0,5.0,0.0,1.0,3.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,5.079,1.0,4.375,0.375,0.75,3.0,5.957375000000001,0.375,2.2638462845343543,0.5175491695067657,0.4629100498862757,0.0,9.624907004188962,0.5175491695067657,-0.22624995586066124,0.6440611887195306,-1.4401645996461911,0.0,1.314745302969154,0.6440611887195306,1.0
